temperature_deg_c,time_h,scale_mol,stirring_shaking,startingmat_1_name,startingmat_1_smiles,startingmat_1_eq,startingmat_2_name,startingmat_2_smiles,startingmat_2_eq,reagent_1_name,reagent_1_eq,reagent_2_name,reagent_2_eq,catalyst_name,catalyst_eq,ligand_name,ligand_eq,solvent_1_name,solvent_1_fraction,product_1_smiles,AP yield,AP selectivity
70,18,7.01E-05,st_400,1-chloro-4-methoxy-benzene,COc1ccc(Cl)cc1,1.00,benzenesulfonamide,NS(=O)(=O)c1ccccc1,1.25,Na2CO3,2.50,,,[Pd2(dba)3],0.03,PPh3,0.03,acetonitrile,1.0,COc1ccc(NS(=O)(=O)c2ccccc2)cc1,0.000,0.000
70,18,7.01E-05,st_400,1-chloro-4-methoxy-benzene,COc1ccc(Cl)cc1,1.00,benzenesulfonamide,NS(=O)(=O)c1ccccc1,1.25,Na2CO3,2.50,,,[Pd(allyl)Cl]2,0.03,PPh3,0.03,anisole,1.0,COc1ccc(NS(=O)(=O)c2ccccc2)cc1,0.000,0.000
70,18,7.01E-05,st_400,1-chloro-4-methoxy-benzene,COc1ccc(Cl)cc1,1.00,benzenesulfonamide,NS(=O)(=O)c1ccccc1,1.25,diisopropylethylamine,2.50,,,[Pd(allyl)Cl]2,0.03,PPh3,0.03,cyclopentyl-methyl-ether,1.0,COc1ccc(NS(=O)(=O)c2ccccc2)cc1,0.000,0.000
70,18,7.01E-05,st_400,1-chloro-4-methoxy-benzene,COc1ccc(Cl)cc1,1.00,benzenesulfonamide,NS(=O)(=O)c1ccccc1,1.25,DBU,2.50,,,[Pd(OAc)2],0.03,PPh3,0.03,2-methyl-2-butanol,1.0,COc1ccc(NS(=O)(=O)c2ccccc2)cc1,0.000,0.000
70,18,7.01E-05,st_400,1-chloro-4-methoxy-benzene,COc1ccc(Cl)cc1,1.00,benzenesulfonamide,NS(=O)(=O)c1ccccc1,1.25,NaTFA,1.25,DBU,1.25,[Pd(OAc)2],0.03,P(Cy)3,0.03,2-methyl-2-butanol,1.0,COc1ccc(NS(=O)(=O)c2ccccc2)cc1,0.000,0.000
70,18,7.01E-05,st_400,1-chloro-4-methoxy-benzene,COc1ccc(Cl)cc1,1.00,benzenesulfonamide,NS(=O)(=O)c1ccccc1,1.25,NaTFA,1.25,DBU,1.25,[Pd2(dba)3],0.03,P(tBu)3,0.03,acetonitrile,1.0,COc1ccc(NS(=O)(=O)c2ccccc2)cc1,0.000,0.000
70,18,7.01E-05,st_400,1-chloro-4-methoxy-benzene,COc1ccc(Cl)cc1,1.00,benzenesulfonamide,NS(=O)(=O)c1ccccc1,1.25,K2CO3,2.50,,,[Pd(allyl)Cl]2,0.03,P(tBu)3,0.03,di-isopropyl ether,1.0,COc1ccc(NS(=O)(=O)c2ccccc2)cc1,0.000,0.000
70,18,7.01E-05,st_400,1-chloro-4-methoxy-benzene,COc1ccc(Cl)cc1,1.00,benzenesulfonamide,NS(=O)(=O)c1ccccc1,1.25,Na2CO3,2.50,,,[Pd(allyl)Cl]2,0.03,P(tBu)3,0.03,di-isopropyl ether,1.0,COc1ccc(NS(=O)(=O)c2ccccc2)cc1,0.000,0.000
70,18,7.01E-05,st_400,1-chloro-4-methoxy-benzene,COc1ccc(Cl)cc1,1.00,benzenesulfonamide,NS(=O)(=O)c1ccccc1,1.25,Na2CO3,2.50,,,[Pd(allyl)Cl]2,0.03,P(tBu)3,0.03,di-n-butyl ether,1.0,COc1ccc(NS(=O)(=O)c2ccccc2)cc1,0.000,0.000
70,18,7.01E-05,st_400,1-chloro-4-methoxy-benzene,COc1ccc(Cl)cc1,1.00,benzenesulfonamide,NS(=O)(=O)c1ccccc1,1.25,DBU,2.50,,,[Pd(OAc)2],0.03,P(tBu)3,0.03,cyclopentyl-methyl-ether,1.0,COc1ccc(NS(=O)(=O)c2ccccc2)cc1,0.000,0.000
70,18,7.01E-05,st_400,1-chloro-4-methoxy-benzene,COc1ccc(Cl)cc1,1.00,benzenesulfonamide,NS(=O)(=O)c1ccccc1,1.25,K2CO3,2.50,,,[Pd(allyl)Cl]2,0.03,JohnPhos,0.03,di-isopropyl ether,1.0,COc1ccc(NS(=O)(=O)c2ccccc2)cc1,0.130,0.366
70,18,7.01E-05,st_400,1-chloro-4-methoxy-benzene,COc1ccc(Cl)cc1,1.00,benzenesulfonamide,NS(=O)(=O)c1ccccc1,1.25,K2CO3,2.50,,,[Pd(allyl)Cl]2,0.03,JohnPhos,0.03,di-n-butyl ether,1.0,COc1ccc(NS(=O)(=O)c2ccccc2)cc1,0.227,0.639
70,18,7.01E-05,st_400,1-chloro-4-methoxy-benzene,COc1ccc(Cl)cc1,1.00,benzenesulfonamide,NS(=O)(=O)c1ccccc1,1.25,K2CO3,2.50,,,[Pd(allyl)Cl]2,0.03,JohnPhos,0.03,cyclopentyl-methyl-ether,1.0,COc1ccc(NS(=O)(=O)c2ccccc2)cc1,0.059,0.204
70,18,7.01E-05,st_400,1-chloro-4-methoxy-benzene,COc1ccc(Cl)cc1,1.00,benzenesulfonamide,NS(=O)(=O)c1ccccc1,1.25,KOAC,2.50,,,[Pd(OAc)2],0.03,P(oTol)3,0.03,n-propyl acetate,1.0,COc1ccc(NS(=O)(=O)c2ccccc2)cc1,0.000,0.000
70,18,7.01E-05,st_400,1-chloro-4-methoxy-benzene,COc1ccc(Cl)cc1,1.00,benzenesulfonamide,NS(=O)(=O)c1ccccc1,1.25,diisopropylethylamine,2.50,,,[Pd(allyl)Cl]2,0.03,cataCXium ABn,0.03,acetonitrile,1.0,COc1ccc(NS(=O)(=O)c2ccccc2)cc1,0.000,0.000
70,18,7.01E-05,st_400,1-chloro-4-methoxy-benzene,COc1ccc(Cl)cc1,1.00,benzenesulfonamide,NS(=O)(=O)c1ccccc1,1.25,K2CO3,2.50,,,[Pd(allyl)Cl]2,0.03,cataCXium ABn,0.03,n-propyl acetate,1.0,COc1ccc(NS(=O)(=O)c2ccccc2)cc1,0.000,0.000
70,18,7.01E-05,st_400,1-chloro-4-methoxy-benzene,COc1ccc(Cl)cc1,1.00,benzenesulfonamide,NS(=O)(=O)c1ccccc1,1.25,K2CO3,2.50,,,[Pd(allyl)Cl]2,0.03,cataCXium ABn,0.03,di-isopropyl ether,1.0,COc1ccc(NS(=O)(=O)c2ccccc2)cc1,0.000,0.000
70,18,7.01E-05,st_400,1-chloro-4-methoxy-benzene,COc1ccc(Cl)cc1,1.00,benzenesulfonamide,NS(=O)(=O)c1ccccc1,1.25,K2CO3,2.50,,,[Pd(allyl)Cl]2,0.03,cataCXium ABn,0.03,isoamyl acetate,1.0,COc1ccc(NS(=O)(=O)c2ccccc2)cc1,0.000,0.000
70,18,7.01E-05,st_400,1-chloro-4-methoxy-benzene,COc1ccc(Cl)cc1,1.00,benzenesulfonamide,NS(=O)(=O)c1ccccc1,1.25,KOAC,2.50,,,[Pd(allyl)Cl]2,0.03,cataCXium ABn,0.03,di-n-butyl ether,1.0,COc1ccc(NS(=O)(=O)c2ccccc2)cc1,0.000,0.000
70,18,7.01E-05,st_400,1-chloro-4-methoxy-benzene,COc1ccc(Cl)cc1,1.00,benzenesulfonamide,NS(=O)(=O)c1ccccc1,1.25,K2CO3,2.50,,,[Pd(allyl)Cl]2,0.03,cataCXium ABn,0.03,di-n-butyl ether,1.0,COc1ccc(NS(=O)(=O)c2ccccc2)cc1,0.000,0.000
70,18,7.01E-05,st_400,1-chloro-4-methoxy-benzene,COc1ccc(Cl)cc1,1.00,benzenesulfonamide,NS(=O)(=O)c1ccccc1,1.25,K2CO3,2.50,,,[Pd(allyl)Cl]2,0.03,cataCXium ABn,0.03,cyclopentyl-methyl-ether,1.0,COc1ccc(NS(=O)(=O)c2ccccc2)cc1,0.000,0.000
70,18,7.01E-05,st_400,1-chloro-4-methoxy-benzene,COc1ccc(Cl)cc1,1.00,benzenesulfonamide,NS(=O)(=O)c1ccccc1,1.25,K2CO3,2.50,,,[Pd(allyl)Cl]2,0.03,cataCXium ABn,0.03,2-methyl-2-butanol,1.0,COc1ccc(NS(=O)(=O)c2ccccc2)cc1,0.000,0.000
70,18,7.01E-05,st_400,1-chloro-4-methoxy-benzene,COc1ccc(Cl)cc1,1.00,benzenesulfonamide,NS(=O)(=O)c1ccccc1,1.25,K2CO3,2.50,,,[Pd(allyl)Cl]2,0.03,cataCXium ABn,0.03,2-MeTHF,1.0,COc1ccc(NS(=O)(=O)c2ccccc2)cc1,0.000,0.000
